Date_2023,Age_days,Injury,Clonality,Spec,CGO,Removed_AB,SLA,LDMC,SRL,RDMC,Root_diameter,BB,AB,Flowering,N_roots,C_roots,N_leaves
22.5.,50,N,clon,Centaurea_jacea_L._s.l.,hypogeogenous_rhizome,NA,471.65,0.08,414.7952,0.0522,0.2522,0.2013,0.8435,N,5.18,38.5,6.21
22.5.,50,N,clon,Centaurea_jacea_L._s.l.,hypogeogenous_rhizome,NA,325.2,0.11,314.4558,0.0556,0.2845,0.7465,1.4592,N,2.97,41.13,4.74
22.5.,50,N,clon,Centaurea_jacea_L._s.l.,hypogeogenous_rhizome,NA,363.75,0.11,330.8614,0.0514,0.2891,0.751,1.6216,N,3.12,40.64,4.5
22.5.,50,N,clon,Centaurea_jacea_L._s.l.,hypogeogenous_rhizome,NA,287.02,0.12,209.857,0.0746,0.2956,0.9071,1.7035,N,2.76,40.77,4.45
22.5.,50,N,clon,Centaurea_jacea_L._s.l.,hypogeogenous_rhizome,NA,290.98,0.13,161.2154,0.0927,0.2919,1.1842,2.1394,N,2.15,41.54,3.21
22.5.,50,N,clon,Centaurea_jacea_L._s.l.,hypogeogenous_rhizome,NA,420.75,0.09,466.3849,0.0421,0.2642,0.2612,1.0358,N,4.34,38.44,4.59
22.5.,50,N,clon,Dianthus_deltoides_L.,hypogeogenous_rhizome,NA,279.91,0.17,706.8269,0.0792,0.138,0.0552,0.2316,N,4.05,40.31,4.97
22.5.,50,N,clon,Dianthus_deltoides_L.,hypogeogenous_rhizome,NA,263.75,0.18,604.1929,0.0634,0.1546,0.0558,0.2375,N,4.09,40.54,5.16
22.5.,50,N,clon,Dianthus_deltoides_L.,hypogeogenous_rhizome,NA,302.04,0.15,620.2059,0.092,0.1604,0.0254,0.1576,N,3.92,41.07,5.68
22.5.,50,N,clon,Dianthus_deltoides_L.,hypogeogenous_rhizome,NA,283.85,0.16,661.6834,0.0689,0.1497,0.0634,0.2662,N,3.79,41.01,5.41
22.5.,50,N,clon,Dianthus_deltoides_L.,hypogeogenous_rhizome,NA,267.99,0.17,769.4571,0.0705,0.1457,0.1006,0.3974,N,4.42,39.99,6.11
22.5.,50,N,clon,Dianthus_deltoides_L.,hypogeogenous_rhizome,NA,303.04,0.16,640.1025,0.0786,0.1545,0.0345,0.1331,N,3.64,40.5,5.38
22.5.,50,N,clon,Galium_boreale_L.,hypogeogenous_rhizome,NA,392.57,0.11,401.6615,0.0725,0.1821,0.093,0.2122,N,5.45,40.27,4.78
22.5.,50,N,clon,Galium_boreale_L.,hypogeogenous_rhizome,NA,615.86,0.16,439.4811,0.1018,0.1752,0.0308,0.08,N,4.77,41.84,5.61
22.5.,50,N,clon,Galium_boreale_L.,hypogeogenous_rhizome,NA,292.1,0.25,375.8648,0.05,0.1613,0.0902,0.1832,N,5.3,41.37,2.99
22.5.,50,N,clon,Galium_boreale_L.,hypogeogenous_rhizome,NA,541.47,0.15,406.4793,0.1906,0.1777,0.0853,0.1488,N,5.64,41.1,6.33
22.5.,50,N,clon,Galium_boreale_L.,hypogeogenous_rhizome,NA,413.33,0.17,401.6057,0.09,0.1758,0.1275,0.2656,N,5.46,40.5,4.9
22.5.,50,N,clon,Galium_boreale_L.,hypogeogenous_rhizome,NA,436.32,0.15,412.1414,0.086,0.1858,0.044,0.0987,N,5.04,39.27,5.39
22.5.,50,N,clon,Hypericum_maculatum,hypogeogenous_rhizome,NA,778.92,0.14,392.6148,0.0717,0.1993,0.004,0.0042,N,NA,NA,5.13
22.5.,50,N,clon,Hypericum_maculatum,hypogeogenous_rhizome,NA,611.27,0.2,427.107,0.0696,0.22,0.0016,0.0022,N,3.79,39.58,5.37
22.5.,50,N,clon,Hypericum_maculatum,hypogeogenous_rhizome,NA,584.2,0.2,239.3647,0.0761,0.2752,0.0258,0.0353,N,3.75,40.64,5.58
22.5.,50,N,clon,Hypericum_maculatum,hypogeogenous_rhizome,NA,573.34,0.17,317.1029,0.0695,0.2374,0.0086,0.0139,N,3.49,39.57,5
22.5.,50,N,clon,Hypericum_maculatum,hypogeogenous_rhizome,NA,626.25,0.17,404.9067,0.0771,0.2312,0.0054,0.0073,N,NA,NA,5.14
22.5.,50,N,clon,Hypericum_maculatum,hypogeogenous_rhizome,NA,698.54,0.17,388.5962,0.0801,0.2071,0.0046,0.0047,N,3.79,39.38,5.41
22.5.,50,N,clon,Lychnis_chalcedonica_L.,epigeogenous_rhizome,NA,589.44,0.09,484.4715,0.0568,0.1977,0.1176,0.4124,N,3.28,40.45,5.52
22.5.,50,N,clon,Lychnis_chalcedonica_L.,epigeogenous_rhizome,NA,509.76,0.1,629.0429,0.0596,0.1713,0.0492,0.2782,N,3.69,39.13,5.51
22.5.,50,N,clon,Lychnis_chalcedonica_L.,epigeogenous_rhizome,NA,530.59,0.1,488.3616,0.0607,0.1911,0.0591,0.271,N,3.5,40.92,4.63
22.5.,50,N,clon,Lychnis_chalcedonica_L.,epigeogenous_rhizome,NA,585.18,0.09,440.6875,0.0561,0.1927,0.0646,0.2403,N,3.32,39.91,4.95
22.5.,50,N,clon,Lychnis_chalcedonica_L.,epigeogenous_rhizome,NA,612.26,0.08,445.7793,0.0634,0.2093,0.1238,0.4549,N,3.26,40.55,5.56
22.5.,50,N,clon,Lychnis_chalcedonica_L.,epigeogenous_rhizome,NA,D,D,D,D,D,D,D,D,D,D,D
22.5.,50,N,clon,Lythrum_virgatum_L.,hypogeogenous_rhizome,NA,482.91,0.16,493.0111,0.0426,0.2473,0.1082,0.3372,N,3.97,36.14,5.47
22.5.,50,N,clon,Lythrum_virgatum_L.,hypogeogenous_rhizome,NA,431.92,0.17,362.5469,0.0423,0.2911,0.1376,0.5856,N,3.75,43.87,5.41
22.5.,50,N,clon,Lythrum_virgatum_L.,hypogeogenous_rhizome,NA,565.52,0.12,491.5769,0.0469,0.2409,0.04,0.1062,N,3.73,35.98,5.37
22.5.,50,N,clon,Lythrum_virgatum_L.,hypogeogenous_rhizome,NA,692.57,0.13,324.2392,0.0567,0.2725,0.0125,0.0637,N,2.91,36.91,5.08
22.5.,50,N,clon,Lythrum_virgatum_L.,hypogeogenous_rhizome,NA,356.69,0.2,388.7247,0.0522,0.246,0.0841,0.3807,N,4.35,42.68,4.9
22.5.,50,N,clon,Lythrum_virgatum_L.,hypogeogenous_rhizome,NA,622.31,0.15,665.164,0.0444,0.2154,0.0697,0.2077,N,3.31,31.98,5.46
22.5.,50,N,clon,Sanguisorba_officinalis_L.,epigeogenous_rhizome,NA,376.13,0.18,417.4948,0.0579,0.2181,0.131,0.3077,N,4.08,39.39,5.41
22.5.,50,N,clon,Sanguisorba_officinalis_L.,epigeogenous_rhizome,NA,395.99,0.17,349.8029,0.0498,0.2771,0.0292,0.1082,N,4.33,40.09,6.25
22.5.,50,N,clon,Sanguisorba_officinalis_L.,epigeogenous_rhizome,NA,423.41,0.18,509.2816,0.0561,0.2137,0.0406,0.0801,N,3.34,39.53,5.46
22.5.,50,N,clon,Sanguisorba_officinalis_L.,epigeogenous_rhizome,NA,360.82,0.21,381.885,0.0589,0.2371,0.0969,0.2058,N,3.89,39.66,5.23
22.5.,50,N,clon,Sanguisorba_officinalis_L.,epigeogenous_rhizome,NA,437.61,0.15,373.5007,0.0582,0.2426,0.0213,0.0632,N,4.77,41.13,5.55
22.5.,50,N,clon,Sanguisorba_officinalis_L.,epigeogenous_rhizome,NA,394.61,0.19,474.0001,0.053,0.2295,0.077,0.3037,N,3.72,38.97,5.36
22.5.,50,N,clon,Tanacetum_vulgare,hypogeogenous_rhizome,NA,362.79,0.13,183.2054,0.1209,0.2356,0.8651,2.1454,N,2.22,42.68,3.85
22.5.,50,N,clon,Tanacetum_vulgare,hypogeogenous_rhizome,NA,361.32,0.13,316.7227,0.0808,0.2317,0.8997,2.1709,N,2.06,41.43,3.93
22.5.,50,N,clon,Tanacetum_vulgare,hypogeogenous_rhizome,NA,311.44,0.15,79.4509,0.1565,0.3323,1.1515,2.3292,N,1.92,42.35,4.33
22.5.,50,N,clon,Tanacetum_vulgare,hypogeogenous_rhizome,NA,246.4,0.19,229.1018,0.1089,0.2392,1.1863,2.7544,N,1.77,42.76,2.99
22.5.,50,N,clon,Tanacetum_vulgare,hypogeogenous_rhizome,NA,323.84,0.15,305.6165,0.0796,0.2321,0.8991,2.2458,N,2.4,41.92,3.8
22.5.,50,N,clon,Tanacetum_vulgare,hypogeogenous_rhizome,NA,275.38,0.15,290.979,0.1046,0.2063,0.8668,2.3996,N,1.95,42.31,3.64
22.5.,50,N,clon,Trifolium_pannonicum_Jacq.,epigeogenous_rhizome,NA,329.2,0.13,187.1838,0.0517,0.3808,0.084,0.1696,N,4.64,38.87,4.43
22.5.,50,N,clon,Trifolium_pannonicum_Jacq.,epigeogenous_rhizome,NA,328.9,0.12,173.7702,0.045,0.4086,0.1068,0.2451,N,4.48,36.98,4.79
22.5.,50,N,clon,Trifolium_pannonicum_Jacq.,epigeogenous_rhizome,NA,340.98,0.12,152.8739,0.049,0.4336,0.1699,0.3598,N,5.62,37.24,5.45
22.5.,50,N,clon,Trifolium_pannonicum_Jacq.,epigeogenous_rhizome,NA,338.23,0.13,166.3866,0.0491,0.4226,0.0463,0.0797,N,3.99,39.08,4.8
22.5.,50,N,clon,Trifolium_pannonicum_Jacq.,epigeogenous_rhizome,NA,302.52,0.13,136.2996,0.0565,0.4297,0.062,0.1391,N,4.41,38.1,4.38
22.5.,50,N,clon,Trifolium_pannonicum_Jacq.,epigeogenous_rhizome,NA,347.82,0.12,113.153,0.0512,0.4906,0.075,0.1211,N,4.66,37.32,4.71
1.6.,60,N,non-clon,Artemisia_campestris_L.,NA,NA,195.17,0.11,455.0574,0.0576,0.2099,0.6143,2.2941,N,3.45,41.84,3.91
1.6.,60,N,non-clon,Artemisia_campestris_L.,NA,NA,187.01,0.13,270.6698,0.069,0.2638,0.403,1.9773,N,4.11,39.86,4.09
1.6.,60,N,non-clon,Artemisia_campestris_L.,NA,NA,195.11,0.12,574.1708,0.06,0.1844,0.2748,1.4485,N,4.16,40.67,4.24
1.6.,60,N,non-clon,Artemisia_campestris_L.,NA,NA,184.46,0.14,490.6346,0.06,0.2221,0.5332,1.7812,N,3.88,37.7,4.02
1.6.,60,N,non-clon,Artemisia_campestris_L.,NA,NA,178.48,0.13,456.0777,0.0707,0.1971,0.4056,1.7394,N,3.79,39.56,4.46
1.6.,60,N,non-clon,Artemisia_campestris_L.,NA,NA,216.98,0.11,517.6259,0.0618,0.1996,0.4471,2.0183,N,3.72,41.78,3.59
1.6.,60,N,non-clon,Centaurea_stoebe_L._s.l.,NA,NA,134.42,0.21,183.8125,0.1286,0.2328,2.2658,4.2472,N,1.66,38.7,3.09
1.6.,60,N,non-clon,Centaurea_stoebe_L._s.l.,NA,NA,133.02,0.19,256.8961,0.0951,0.2473,2.3482,3.8159,N,2.07,40.07,3.24
1.6.,60,N,non-clon,Centaurea_stoebe_L._s.l.,NA,NA,172.95,0.15,239.512,0.0995,0.2357,2.8512,3.1478,N,1.77,34.69,3.12
1.6.,60,N,non-clon,Centaurea_stoebe_L._s.l.,NA,NA,215.11,0.14,201.9597,0.1004,0.2614,1.5317,3.0693,N,2.64,41.66,3.14
1.6.,60,N,non-clon,Centaurea_stoebe_L._s.l.,NA,NA,128.44,0.2,233.3515,0.1184,0.2219,2.6283,4.1703,N,1.88,41,3.07
1.6.,60,N,non-clon,Centaurea_stoebe_L._s.l.,NA,NA,170.45,0.17,153.0154,0.0773,0.3371,1.5329,3.9231,N,2.02,40.18,3.17
1.6.,60,N,non-clon,Dianthus_carthusianorum_L.,NA,NA,213.7,0.15,729.8772,0.0656,0.1586,0.1478,0.5666,N,4.14,40.4,6.78
1.6.,60,N,non-clon,Dianthus_carthusianorum_L.,NA,NA,161.62,0.2,629.9833,0.0716,0.1542,0.1078,0.5675,N,3.1,42.68,4.01
1.6.,60,N,non-clon,Dianthus_carthusianorum_L.,NA,NA,231.66,0.17,626.3993,0.0706,0.1585,0.0487,0.3084,N,3.03,42.67,4.74
1.6.,60,N,non-clon,Dianthus_carthusianorum_L.,NA,NA,188.14,0.18,698.0348,0.056,0.1696,0.17,0.6604,N,4.11,41.01,4.95
1.6.,60,N,non-clon,Dianthus_carthusianorum_L.,NA,NA,145.09,0.2,615.958,0.1009,0.1669,0.2166,0.8154,N,3.74,41.19,5.19
1.6.,60,N,non-clon,Dianthus_carthusianorum_L.,NA,NA,169.91,0.2,532.8762,0.0797,0.1624,0.1005,0.6162,N,3.84,41.06,5.15
1.6.,60,N,non-clon,Galium_album_Mill._ssp._Album,NA,NA,275.94,0.25,476.208,0.0726,0.1786,0.7848,4.5255,A,2.41,37.82,1.64
1.6.,60,N,non-clon,Galium_album_Mill._ssp._Album,NA,NA,324.66,0.2,346.8617,0.0749,0.2034,1.0505,2.5911,N,2.81,40.7,4.16
1.6.,60,N,non-clon,Galium_album_Mill._ssp._Album,NA,NA,270.23,0.24,499.5258,0.0741,0.172,1.2299,3.9384,N,2.2,41.28,1.72
1.6.,60,N,non-clon,Galium_album_Mill._ssp._Album,NA,NA,366.11,0.19,350.575,0.0664,0.1981,1.2892,4.0054,N,2.36,40.88,2.92
1.6.,60,N,non-clon,Galium_album_Mill._ssp._Album,NA,NA,298.75,0.23,357.2012,0.0851,0.1887,1.3504,3.7251,N,2.4,41.82,2.64
1.6.,60,N,non-clon,Galium_album_Mill._ssp._Album,NA,NA,364.75,0.19,401.5317,0.0699,0.1896,0.4868,1.9953,N,3.63,41.48,3.29
1.6.,60,N,non-clon,Hypericum_montanum_L.,NA,NA,454.77,0.23,463.2084,0.059,0.1974,0.0048,0.1253,N,NA,NA,5
1.6.,60,N,non-clon,Hypericum_montanum_L.,NA,NA,500.34,0.23,1002.2957,0.0459,0.1614,0.001,0.0076,N,4.46,39.24,4.45
1.6.,60,N,non-clon,Hypericum_montanum_L.,NA,NA,630.6,0.2,843.3412,0.0368,0.1824,0.0012,0.006,N,NA,NA,4.51
1.6.,60,N,non-clon,Hypericum_montanum_L.,NA,NA,586.52,0.21,515.5641,0.0618,0.1909,0.0046,0.0262,N,4.79,39.04,4.09
1.6.,60,N,non-clon,Hypericum_montanum_L.,NA,NA,629.55,0.19,497.0702,0.0517,0.2142,0.008,0.026,N,4.97,39.22,5.73
1.6.,60,N,non-clon,Hypericum_montanum_L.,NA,NA,511.17,0.22,386.6891,0.0627,0.2052,0.0124,0.052,N,4.25,40.21,4.62
1.6.,60,N,non-clon,Lychnis_flos-cuculi_L.,NA,NA,194.09,0.15,530.0081,0.0685,0.1988,0.4281,2.0063,N,3.11,39.96,3.79
1.6.,60,N,non-clon,Lychnis_flos-cuculi_L.,NA,NA,320.46,0.11,594.3415,0.0663,0.1992,0.3125,1.5641,N,2.48,40.55,4.44
1.6.,60,N,non-clon,Lychnis_flos-cuculi_L.,NA,NA,306.7,0.12,552.1361,0.0651,0.1833,0.4919,2.3905,N,2.57,39.21,4.69
1.6.,60,N,non-clon,Lychnis_flos-cuculi_L.,NA,NA,295.44,0.13,396.3009,0.064,0.2193,0.4736,1.8217,N,2.61,40.77,3.74
1.6.,60,N,non-clon,Lychnis_flos-cuculi_L.,NA,NA,233.99,0.15,583.1923,0.0597,0.1929,0.4139,1.5799,N,2.96,39.35,4.35
1.6.,60,N,non-clon,Lychnis_flos-cuculi_L.,NA,NA,259.33,0.15,474.6515,0.0722,0.2174,0.3568,2.2945,N,2.76,40.96,3.68
1.6.,60,N,non-clon,Lythrum_salicaria_L.,NA,NA,342.15,0.19,316.8064,0.0558,0.3078,1.0595,2.8988,N,1.43,30.87,2.63
1.6.,60,N,non-clon,Lythrum_salicaria_L.,NA,NA,346.29,0.19,524.1884,0.0416,0.2569,0.7713,2.4028,N,2.47,37.39,2.81
1.6.,60,N,non-clon,Lythrum_salicaria_L.,NA,NA,270.18,0.24,331.9209,0.0566,0.2842,0.788,2.8925,N,2.05,39.71,2.44
1.6.,60,N,non-clon,Lythrum_salicaria_L.,NA,NA,381.6,0.17,506.3357,0.0491,0.264,1.3983,3.5902,N,2.23,40.14,2.93
1.6.,60,N,non-clon,Lythrum_salicaria_L.,NA,NA,493.92,0.14,455.1062,0.0485,0.2722,0.2685,0.8628,N,2.81,37.11,4.92
1.6.,60,N,non-clon,Lythrum_salicaria_L.,NA,NA,D,D,D,D,D,D,D,D,D,D,D
1.6.,60,N,non-clon,Sanguisorba_minor_Scop._s.l.,NA,NA,215.03,0.32,282.6992,0.0842,0.2477,1.5355,5.6413,N,2.31,43.25,2.78
1.6.,60,N,non-clon,Sanguisorba_minor_Scop._s.l.,NA,NA,185.87,0.34,182.0404,0.0771,0.3356,1.4915,5.2842,N,2,44.29,2.77
1.6.,60,N,non-clon,Sanguisorba_minor_Scop._s.l.,NA,NA,173.77,0.37,136.9841,0.1064,0.3106,1.6846,5.3882,N,2.05,43.64,2.07
1.6.,60,N,non-clon,Sanguisorba_minor_Scop._s.l.,NA,NA,239.21,0.33,387.3796,0.0744,0.229,1.3626,4.9982,Y,1.92,43.49,2.53
1.6.,60,N,non-clon,Sanguisorba_minor_Scop._s.l.,NA,NA,247.79,0.31,355.9061,0.0841,0.2247,1.2645,4.5737,Y,1.99,43.15,2.79
1.6.,60,N,non-clon,Sanguisorba_minor_Scop._s.l.,NA,NA,195.11,0.36,282.5315,0.0821,0.2489,1.1713,4.8096,N,2.12,43.26,2.66
1.6.,60,N,non-clon,Tanacetum_parthenium_(L.)_Sch._Bip.,NA,NA,174.56,0.3,197.658,0.0458,0.3628,0.6547,4.6339,N,2.75,42.39,1.66
1.6.,60,N,non-clon,Tanacetum_parthenium_(L.)_Sch._Bip.,NA,NA,247.58,0.22,152.1731,0.1209,0.2643,1.9027,4.122,N,1.92,42.49,1.78
1.6.,60,N,non-clon,Tanacetum_parthenium_(L.)_Sch._Bip.,NA,NA,203.91,0.28,303.7454,0.0957,0.2199,1.8521,4.5368,N,1.92,42.97,1.73
1.6.,60,N,non-clon,Tanacetum_parthenium_(L.)_Sch._Bip.,NA,NA,201.24,0.27,458.3713,0.0622,0.2164,1.9476,4.4282,N,1.73,39.55,1.62
1.6.,60,N,non-clon,Tanacetum_parthenium_(L.)_Sch._Bip.,NA,NA,187.98,0.3,201.0995,0.1037,0.2485,2.0606,4.5243,N,1.51,42.2,1.51
1.6.,60,N,non-clon,Tanacetum_parthenium_(L.)_Sch._Bip.,NA,NA,199.08,0.28,477.0554,0.0758,0.1982,1.9826,4.091,N,1.61,42.16,1.79
1.6.,60,N,non-clon,Trifolium_montanum_L.,NA,NA,242.1,0.2,350.7898,0.0518,0.2803,0.1354,0.2571,N,4.29,39.44,5.92
1.6.,60,N,non-clon,Trifolium_montanum_L.,NA,NA,291.03,0.19,251.0142,0.0581,0.2992,0.1499,0.3685,N,4.26,40.14,5.98
1.6.,60,N,non-clon,Trifolium_montanum_L.,NA,NA,290.6,0.18,285.6533,0.0577,0.2981,0.1501,0.2572,N,4.45,40.07,5.63
1.6.,60,N,non-clon,Trifolium_montanum_L.,NA,NA,309.34,0.18,333.5103,0.0626,0.2684,0.0793,0.1429,N,4.1,40.13,5.98
1.6.,60,N,non-clon,Trifolium_montanum_L.,NA,NA,350.32,0.19,292.7965,0.064,0.2737,0.108,0.1932,N,3.78,40.34,4.78
1.6.,60,N,non-clon,Trifolium_montanum_L.,NA,NA,295.17,0.17,316.5582,0.0514,0.2842,0.1014,0.2196,N,5.98,38.51,4.79
1.6.,60,N,clon,Artemisia_absinthium,stolon,NA,188.16,0.24,376.0646,0.0688,0.2265,1.2583,3.8114,N,2.79,42.57,1.76
1.6.,60,N,clon,Artemisia_absinthium,stolon,NA,226.69,0.22,251.7215,0.064,0.3068,1.4127,4.0723,N,2.76,42.36,2
1.6.,60,N,clon,Artemisia_absinthium,stolon,NA,261.15,0.19,331.2318,0.0696,0.2463,1.4396,2.2218,N,2.4,43.06,3.24
1.6.,60,N,clon,Artemisia_absinthium,stolon,NA,268.3,0.17,227.9875,0.0885,0.2539,1.9382,2.6165,N,2.52,42.76,3
1.6.,60,N,clon,Artemisia_absinthium,stolon,NA,182.2,0.24,196.0095,0.0767,0.3104,1.9658,3.6225,N,2.38,43.1,1.89
1.6.,60,N,clon,Artemisia_absinthium,stolon,NA,225.23,0.21,322.1523,0.0749,0.2505,1.4703,3.9647,N,2.33,43.03,2.61
1.6.,60,N,clon,Centaurea_jacea_L._s.l.,hypogeogenous_rhizome,NA,299.56,0.14,123.131,0.1048,0.3328,2.496,2.6978,N,1.56,41.57,2.38
1.6.,60,N,clon,Centaurea_jacea_L._s.l.,hypogeogenous_rhizome,NA,222.51,0.17,153.1257,0.0888,0.3305,2.201,3.2199,N,1.93,41.39,2.39
1.6.,60,N,clon,Centaurea_jacea_L._s.l.,hypogeogenous_rhizome,NA,374.84,0.12,237.4533,0.0696,0.3,1.2915,2.4652,N,2.47,40.09,3.24
1.6.,60,N,clon,Centaurea_jacea_L._s.l.,hypogeogenous_rhizome,NA,243.89,0.14,158.9559,0.0742,0.3524,1.5273,2.64,N,2.57,40.63,4.06
1.6.,60,N,clon,Centaurea_jacea_L._s.l.,hypogeogenous_rhizome,NA,251.06,0.11,170.9041,0.0809,0.3331,1.4039,2.2423,N,2.22,41.16,3.76
1.6.,60,N,clon,Centaurea_jacea_L._s.l.,hypogeogenous_rhizome,NA,208.47,0.17,146.292,0.0972,0.3179,2.1209,3.4039,N,1.82,41.32,2.58
1.6.,60,N,clon,Dianthus_deltoides_L.,hypogeogenous_rhizome,NA,247.52,0.19,531.7421,0.0757,0.1833,0.1194,0.5783,N,3.79,40.67,4.69
1.6.,60,N,clon,Dianthus_deltoides_L.,hypogeogenous_rhizome,NA,255.43,0.18,633.1628,0.0641,0.1787,0.2293,0.9496,N,3.65,41.07,5.28
1.6.,60,N,clon,Dianthus_deltoides_L.,hypogeogenous_rhizome,NA,320.13,0.15,771.8192,0.0567,0.177,0.1044,0.6238,N,3.53,40.52,4.96
1.6.,60,N,clon,Dianthus_deltoides_L.,hypogeogenous_rhizome,NA,240.78,0.18,564.8872,0.0739,0.1785,0.2247,0.8941,N,4.03,41.61,5.3
1.6.,60,N,clon,Dianthus_deltoides_L.,hypogeogenous_rhizome,NA,245.19,0.19,799.7679,0.0556,0.1657,0.2301,0.94,N,3.39,41.1,4.29
1.6.,60,N,clon,Dianthus_deltoides_L.,hypogeogenous_rhizome,NA,244.64,0.18,728.3588,0.0501,0.1847,0.2333,1.2116,N,4,41.42,4.78
1.6.,60,N,clon,Galium_boreale_L.,hypogeogenous_rhizome,NA,331.63,0.2,406.1078,0.0729,0.205,0.3367,0.7191,N,5.51,41.11,4.04
1.6.,60,N,clon,Galium_boreale_L.,hypogeogenous_rhizome,NA,321.12,0.21,330.9775,0.0826,0.1959,0.1947,0.4623,N,3.37,41.04,3.78
1.6.,60,N,clon,Galium_boreale_L.,hypogeogenous_rhizome,NA,229.27,0.22,301.9959,0.0836,0.2249,0.2319,0.586,N,4.74,40.36,3.82
1.6.,60,N,clon,Galium_boreale_L.,hypogeogenous_rhizome,NA,311.48,0.15,501.9996,0.0531,0.2006,0.0174,0.1673,N,2.76,41.56,2.79
1.6.,60,N,clon,Galium_boreale_L.,hypogeogenous_rhizome,NA,331.33,0.19,231.3576,0.1075,0.2068,0.1042,0.0772,N,3.41,40.44,4.17
1.6.,60,N,clon,Galium_boreale_L.,hypogeogenous_rhizome,NA,360.87,0.19,362.6084,0.0755,0.1863,0.2114,0.3912,N,4.33,38.42,4.2
1.6.,60,N,clon,Hypericum_maculatum,hypogeogenous_rhizome,NA,D,D,D,D,D,D,D,D,D,D,D
1.6.,60,N,clon,Hypericum_maculatum,hypogeogenous_rhizome,NA,570.8,0.2,300.3331,0.0674,0.2585,0.03,0.2285,N,3.31,41.1,4.32
1.6.,60,N,clon,Hypericum_maculatum,hypogeogenous_rhizome,NA,524.25,0.2,429.813,0.0589,0.2346,0.0316,0.2375,N,4.53,38.56,4.93
1.6.,60,N,clon,Hypericum_maculatum,hypogeogenous_rhizome,NA,509.28,0.18,331.4565,0.0604,0.2521,0.1022,0.2303,N,4.31,40.95,4.68
1.6.,60,N,clon,Hypericum_maculatum,hypogeogenous_rhizome,NA,608.13,0.19,262.0639,0.0615,0.2771,0.0783,0.0688,N,3.22,40.56,4.72
1.6.,60,N,clon,Hypericum_maculatum,hypogeogenous_rhizome,NA,556.45,0.21,282.8963,0.0605,0.269,0.0388,0.1851,N,4.09,41.08,4.85
1.6.,60,N,clon,Lychnis_chalcedonica_L.,epigeogenous_rhizome,NA,476.06,0.12,462.757,0.0652,0.2157,0.2659,0.864,N,2.49,41.27,4.07
1.6.,60,N,clon,Lychnis_chalcedonica_L.,epigeogenous_rhizome,NA,409.12,0.12,369.8403,0.0808,0.2069,0.3562,1.3565,N,2.97,41.52,5.01
1.6.,60,N,clon,Lychnis_chalcedonica_L.,epigeogenous_rhizome,NA,420.39,0.13,423.9409,0.0824,0.2104,0.3386,1.1469,N,2.65,42.16,3.75
1.6.,60,N,clon,Lychnis_chalcedonica_L.,epigeogenous_rhizome,NA,436.5,0.12,457.422,0.0805,0.2275,0.2987,1.0239,N,2.81,42.07,3.89
1.6.,60,N,clon,Lychnis_chalcedonica_L.,epigeogenous_rhizome,NA,499.2,0.09,552.7492,0.0662,0.2265,0.125,0.4525,N,2.63,41.19,3.77
1.6.,60,N,clon,Lychnis_chalcedonica_L.,epigeogenous_rhizome,NA,391.39,0.14,271.4324,0.0844,0.2331,0.3728,1.5154,N,3.03,42.53,4.13
1.6.,60,N,clon,Lythrum_virgatum_L.,hypogeogenous_rhizome,NA,295.89,0.23,296.4438,0.056,0.2962,0.5246,1.7308,N,2.37,39.68,3.86
1.6.,60,N,clon,Lythrum_virgatum_L.,hypogeogenous_rhizome,NA,377.32,0.2,410.0277,0.0477,0.2704,0.314,1.0092,N,2.78,40.3,4.3
1.6.,60,N,clon,Lythrum_virgatum_L.,hypogeogenous_rhizome,NA,280.67,0.24,310.9578,0.0531,0.2995,0.7361,2.069,N,2.42,39.9,3.43
1.6.,60,N,clon,Lythrum_virgatum_L.,hypogeogenous_rhizome,NA,344.04,0.21,600.6396,0.0558,0.2189,0.2655,0.9267,N,2.59,38.47,5.04
1.6.,60,N,clon,Lythrum_virgatum_L.,hypogeogenous_rhizome,NA,505.17,0.16,348.1156,0.05,0.2999,0.2628,0.7986,N,2.61,39.92,5.1
1.6.,60,N,clon,Lythrum_virgatum_L.,hypogeogenous_rhizome,NA,313.1,0.23,461.0796,0.0583,0.2404,0.6227,1.5922,N,2.55,39.56,4.27
1.6.,60,N,clon,Sanguisorba_officinalis_L.,epigeogenous_rhizome,NA,318.94,0.23,286.3761,0.054,0.2772,0.0761,0.2617,N,3.59,41.02,5.31
1.6.,60,N,clon,Sanguisorba_officinalis_L.,epigeogenous_rhizome,NA,289.56,0.23,346.2768,0.054,0.2577,0.2668,1.0477,N,3.49,38.66,4.24
1.6.,60,N,clon,Sanguisorba_officinalis_L.,epigeogenous_rhizome,NA,249.12,0.25,280.7041,0.0544,0.2872,0.8223,1.6862,N,1.65,25.54,3.9
1.6.,60,N,clon,Sanguisorba_officinalis_L.,epigeogenous_rhizome,NA,367.29,0.21,271.4567,0.0517,0.2907,0.1526,0.6293,N,3.92,40.88,4.89
1.6.,60,N,clon,Sanguisorba_officinalis_L.,epigeogenous_rhizome,NA,D,D,D,D,D,D,D,D,D,D,D
1.6.,60,N,clon,Sanguisorba_officinalis_L.,epigeogenous_rhizome,NA,338.75,0.22,394.3909,0.0484,0.2608,0.2998,0.9321,N,3.09,40.46,4.91
1.6.,60,N,clon,Tanacetum_vulgare,hypogeogenous_rhizome,NA,269.7,0.16,138.0879,0.1244,0.2775,2.3667,4.0575,N,1.91,41.8,2.43
